handle,title,vendor,year_source,years,variant_titles,desc_context,admin_url
denavolo-mansano-bianco,"Denavolo | ""Mansano"" Vino Bianco",Fyxx | Les Caves de Pyrene,description,2005,75cl,"…Trebbia valley of Emilia-Romagna. Founded in 2005, Denavolo produces extended skin maceration …",https://admin.shopify.com/store/drynksapp/products/9616729080055
domaine-alexandre-bain-terre-dobus-vdf,"Domaine Alexandre Bain | ""Terre D'obus"" VDF",Fyxx | Les Caves de Pyrene,description,2007,75cl,"… over his family's Pouilly-Fumé vineyards in 2007, farming biodynamically with horses and maki…",https://admin.shopify.com/store/drynksapp/products/9677320945911
domaine-alexandre-bain-pierre-precieuse-vdf,Domaine Alexandre Bain | Pouilly Fumé - Pierre Precieuse VDF,Fyxx | Les Caves de Pyrene,description,2007,75cl,"… over his family's Pouilly-Fumé vineyards in 2007, farming biodynamically with horses and maki…",https://admin.shopify.com/store/drynksapp/products/8066342977783
zouina-epicuria-cabernet-sauvignon,"Domaine de la Zouina | ""Epicuria"" Cabernet Sauvignon",Fyxx | Les Caves de Pyrene,description,2000,75cl,…ne de la Zouina was established in the early 2000s by Gerard Gribelin and Philippe Gervoson ne…,https://admin.shopify.com/store/drynksapp/products/9616728817911
2018-epicuria-chardonnay,"Domaine de la Zouina | ""Epicuria"" Chardonnay",Fyxx | Les Caves de Pyrene,description,2000,75cl,…ne de la Zouina was established in the early 2000s near Meknes when French vignerons Gerard Gr…,https://admin.shopify.com/store/drynksapp/products/6822032343193
2015-epicuria-syrah,"Domaine de la Zouina | ""Epicuria"" Syrah",Fyxx | Les Caves de Pyrene,description,2000,75cl,…ne de la Zouina was established in the early 2000s near Meknes when French vignerons Gerard Gr…,https://admin.shopify.com/store/drynksapp/products/6822034800793
2019-fatalone-primitivo-gioia-del-colle,Fatalone Primitivo Gioia Del Colle,Fyxx | Les Caves de Pyrene,description,1987,75cl,"…es under the Fatalone label were produced in 1987 by the Petrera family, who had long sold the…",https://admin.shopify.com/store/drynksapp/products/6822029492377
2017-fatalone-primitivo-gioia-del-colle-riserva,Fatalone Primitivo Gioia Del Colle Riserva,Fyxx | Les Caves de Pyrene,description,1987,75cl,"…es under the Fatalone label were produced in 1987 by the Petrera family, who had long sold the…",https://admin.shopify.com/store/drynksapp/products/6822029918361
2018-chateau-tour-des-gendres-bergerac-rouge-cuvee-des-conti-red,Gendres Bergerac Cuvee Conti Rouge,Fyxx | Les Caves de Pyrene,description,"1925,1996,2009",75cl,…ian family that settled south of Bergerac in 1925. Luc pioneered organic farming in the region…,https://admin.shopify.com/store/drynksapp/products/6822017269913
2019-domaine-laporte-pouilly-fume-roche-blanche,Laporte Pouilly Fume Roche Blanche,Fyxx | Les Caves de Pyrene,description,1986,75cl,… heart of the Sancerre appellation and since 1986 has been under the ownership of the Bourgeoi…,https://admin.shopify.com/store/drynksapp/products/6822021496985
2019-moulin-de-gassac-classic-blanc,Mas de Daumas Gassac | Blanc,Fyxx | Les Caves de Pyrene,description,"1974,1990",75cl,"…gundy's Côte d'Or. Farming organically since 1974, the estate has become one of southern Franc…",https://admin.shopify.com/store/drynksapp/products/6822018810009
daumas-gassac-rose-frizant,Mas de Daumas Gassac | Rosé Frizant,Fyxx | Les Caves de Pyrene,description,"1974,1990",75cl,"…gundy's Côte d'Or. Farming organically since 1974, the estate has become one of southern Franc…",https://admin.shopify.com/store/drynksapp/products/7150867349657
2017-mas-de-daumas-gassac-rouge,Mas de Daumas Gassac | Rouge,Fyxx | Les Caves de Pyrene,description,"1974,1990",75cl,"…ane) Style: Dry red, certified organic since 1974, aged 12 to 15 months in oak barrels Winemak…",https://admin.shopify.com/store/drynksapp/products/6822020546713
monte-dall-ora-amarone-stropa,Monte Dall'Ora Amarone Stropa,Fyxx | Les Caves de Pyrene,description,1995,75cl,"…s in Valpolicella, who founded the estate in 1995 in Castellroto in the hills above Verona. Wo…",https://admin.shopify.com/store/drynksapp/products/7146943119513
monte-dall-ora-valpol-ripasso-sausto,Monte Dall'Ora Valpolicella Ripasso Sausto,Fyxx | Les Caves de Pyrene,description,1995,75cl,"…s in Valpolicella, who founded the estate in 1995 in Castellroto in the hills above Verona. Wo…",https://admin.shopify.com/store/drynksapp/products/7148301222041
dns-monte-dall-ora-valpolicella-saseti,Monte Dall'Ora Valpolicella Saseti,Fyxx | Les Caves de Pyrene,description,1995,75cl,"…s in Valpolicella, who founded the estate in 1995 in Castellroto in the hills above Verona. Wo…",https://admin.shopify.com/store/drynksapp/products/7150876983449
monte-dall-ora-valpolicella-camporenzo,Monte Dall`Ora Valpolicella Camporenzo,Fyxx | Les Caves de Pyrene,description,1995,75cl,"…s in Valpolicella, who founded the estate in 1995 in Castellroto in the hills above Verona. Wo…",https://admin.shopify.com/store/drynksapp/products/7148298666137
moulin-de-gassac-chardonnay,Moulin De Gassac | Chardonnay,Fyxx | Les Caves de Pyrene,description,1990,75cl,…Producer Moulin de Gassac was created in the 1990s by Aimé and Véronique Guibert of Mas de Dau…,https://admin.shopify.com/store/drynksapp/products/7941681119479
2019-moulin-de-gassac-chardonnay-viognier,Moulin De Gassac | Chardonnay Viognier,Fyxx | Les Caves de Pyrene,description,"1974,1990",75cl,"…gundy's Côte d'Or. Farming organically since 1974, the estate has become one of southern Franc…",https://admin.shopify.com/store/drynksapp/products/6822019235993
2018-mas-de-daumas-gassac-blanc,Moulin De Gassac | Classic Blanc,Fyxx | Les Caves de Pyrene,description,"1974,1990",75cl,"…gundy's Côte d'Or. Farming organically since 1974, the estate has become one of southern Franc…",https://admin.shopify.com/store/drynksapp/products/6822019465369
2019-moulin-de-gassac-classic-rouge,Moulin De Gassac | Classic Rouge,Fyxx | Les Caves de Pyrene,description,"1974,1990",75cl,"…gundy's Côte d'Or. Farming organically since 1974, the estate has become one of southern Franc…",https://admin.shopify.com/store/drynksapp/products/6822019924121
2018-moulin-de-gassac-pinot-noir,Moulin De Gassac | Pinot Noir,Fyxx | Les Caves de Pyrene,description,"1974,1990",75cl,"…gundy's Côte d'Or. Farming organically since 1974, the estate has become one of southern Franc…",https://admin.shopify.com/store/drynksapp/products/6822020251801
2019-nicolas-reau-attention-chenin-mechant,Nicolas Réau | Attention Chenin Mechant,Fyxx | Les Caves de Pyrene,description,"2002,2007",75cl,"…e concert hall for the vineyards of Anjou in 2002, taking over the estate Le Clos des Treilles…",https://admin.shopify.com/store/drynksapp/products/6822013763737
2018-nicolas-reau-anjou-blanc-clos-des-treilles,Nicolas Réau | Clos Des Treilles,Fyxx | Les Caves de Pyrene,description,"2002,2007",75cl,"…e concert hall for the vineyards of Anjou in 2002, taking over the estate Le Clos des Treilles…",https://admin.shopify.com/store/drynksapp/products/6822014025881
2019-nicolas-reau-enlevement-demande,Nicolas Réau | Enlèvement,Fyxx | Les Caves de Pyrene,description,"2002,2007",75cl,"…e concert hall for the vineyards of Anjou in 2002, taking over the estate Le Clos des Treilles…",https://admin.shopify.com/store/drynksapp/products/6822014255257
2019-nicolas-reau-anjou-rouge-pompois,Nicolas Réau | Pompois,Fyxx | Les Caves de Pyrene,description,"2002,2007",75cl,"…e concert hall for the vineyards of Anjou in 2002, taking over the estate Le Clos des Treilles…",https://admin.shopify.com/store/drynksapp/products/6822014615705
2019-partida-creus-bb-bobal,Partida Creus BB Bobal,Fyxx | Les Caves de Pyrene,description,2000,75cl,…ducer Partida Creus was founded in the early 2000s by Italian architects Antonella Gerosa and …,https://admin.shopify.com/store/drynksapp/products/6822025887897
2019-partida-creus-bn-blanco-natural-macabeo-cartoixa-vermell,Partida Creus | BN Blanco,Fyxx | Les Caves de Pyrene,description,2000,75cl,…ducer Partida Creus was founded in the early 2000s by Italian architects Antonella Gerosa and …,https://admin.shopify.com/store/drynksapp/products/6822025494681
2019-pheasant-tears-rkatseiteli-tibaani,Pheasant's Tears Rkatseiteli Tibaani,Fyxx | Les Caves de Pyrene,description,2007,75cl,"…the Producer Pheasant's Tears was founded in 2007 by Gela Patalishvili, an 8th-generation wine…",https://admin.shopify.com/store/drynksapp/products/6822052397209
2018-pheasant-s-tears-tsolikouri-vani-no-skin,Pheasant's Tears Tsolikouri Vani (No Skin),Fyxx | Les Caves de Pyrene,description,2007,75cl,"…the Producer Pheasant's Tears was founded in 2007 by Gela Patalishvili, an 8th-generation wine…",https://admin.shopify.com/store/drynksapp/products/6822053019801
2012-brunello-di-montalcino-vigneti-del-versante-versante,Pian dell Orino | Brunello di Montalcino,Fyxx | Les Caves de Pyrene,description,"1997,2003,2016",75cl,"…G Style: Dry red, biodynamic certified since 2003, minimum 45 months ageing in large Stockinge…",https://admin.shopify.com/store/drynksapp/products/6822027264153
2018-rosso-piceno-gino-sangiovese-montepulciano,Pian dell Orino | Rosso di Montalcino,Fyxx | Les Caves de Pyrene,description,"1997,2003,2016",75cl,"…C Style: Dry red, biodynamic certified since 2003, aged 28 months in large oak barrels Winemak…",https://admin.shopify.com/store/drynksapp/products/6822029099161
2018-luneau-l-papin-muscadet-terre-de-pierre,"Pierre Luneau-Papin | ""Terre De Pierre"" Muscadet",Fyxx | Les Caves de Pyrene,description,1990,75cl,"…ucer Domaine Luneau-Papin was founded in the 1990s, uniting two centuries-old winemaking famil…",https://admin.shopify.com/store/drynksapp/products/6822015729817
2019-luneau-pm-m-folle-blanche-du-pays-nantais,Pierre Luneau-Papin | Folle Blanche,Fyxx | Les Caves de Pyrene,description,1990,75cl,"…ucer Domaine Luneau-Papin was founded in the 1990s, uniting two centuries-old winemaking famil…",https://admin.shopify.com/store/drynksapp/products/6822015500441
la-pentiere-muscadet-sur-lie,Pierre Luneau-Papin | La Pentiere Muscadet Sur Lie A.O.P,Fyxx | Les Caves de Pyrene,description,1990,75cl,"…ng to the early 18th century, created in the 1990s when the Luneau and Papin families united. …",https://admin.shopify.com/store/drynksapp/products/7148325896345
tp-selection-massale-pinot-noir,Selection Massale | Pinot Noir,Fyxx | Les Caves de Pyrene,description,2021,75cl,"…ion Massale, Dan Gillett's winery founded in 2021 — 75% whole bunch, 4 weeks maceration, 12 mo…",https://admin.shopify.com/store/drynksapp/products/9616733995255
sokol-blosser-evolution-sparkling,Sokol Blosser | Evolution Sparkling,Fyxx | Les Caves de Pyrene,description,1971,75cl,…e first estates established in the region in 1971. Long committed to sustainable and organic f…,https://admin.shopify.com/store/drynksapp/products/7150919188633
dnu-gendres-bergerac-cantalouette-rouge,Tour des Gendres | Cantalouette Rouge,Fyxx | Les Caves de Pyrene,description,"1981,1996,2009",75cl,"…led in Ribagnac in the Bergerac region since 1981. Farming organically from 1996, certified in…",https://admin.shopify.com/store/drynksapp/products/7150870823065
2017-chateau-tour-des-gendres-bergerac-rouge-la-gloire-de-mon-pere-red,Tour des Gendres | La Gloire de mon Père Bergerac Rouge,Fyxx | Les Caves de Pyrene,description,"1925,1996,2009",75cl,…ian family that settled south of Bergerac in 1925. Luc pioneered organic farming in the region…,https://admin.shopify.com/store/drynksapp/products/6822017630361
2017-chateau-tour-des-gendres-moulin-des-dames-blanc-white,Tour des Gendres | Moulin des Dames,Fyxx | Les Caves de Pyrene,description,"1925,1996,2009",75cl,…ian family that settled south of Bergerac in 1925. Luc pioneered organic farming in the region…,https://admin.shopify.com/store/drynksapp/products/6822016712857
bott-vino-rosso-bio-2021-alessandrino-in-conf-ni-da-8-bottiglie-da-l-0-75,Valli Unite | Alessandrino Rosso,Fyxx | Les Caves de Pyrene,description,"1981,2006,2013",75cl,"… is a cooperative of 35 producers founded in 1981 in the Tortona Hills of Piedmont, farming 10…",https://admin.shopify.com/store/drynksapp/products/7926600597751
valli-unite-brut-the-beast,Valli Unite | BRUT & The Beast,Fyxx | Les Caves de Pyrene,description,"1981,2006,2013",75cl,"… is a cooperative of 35 producers founded in 1981 in the Tortona Hills of Piedmont, farming 10…",https://admin.shopify.com/store/drynksapp/products/9878058434807
valli-unite-bradiga,Valli Unite | Bardigá,Fyxx | Les Caves de Pyrene,description,"1981,2006,2013",75cl,"…le: Dry natural red, certified organic since 2006, spontaneous fermentation Winemaking: Manual…",https://admin.shopify.com/store/drynksapp/products/7685106499831
valli-unite-ciape,Valli Unite | Ciapè,Fyxx | Les Caves de Pyrene,description,"1981,2006,2013",75cl,"… Style: Orange wine, certified organic since 2006, skin maceration, spontaneous fermentation W…",https://admin.shopify.com/store/drynksapp/products/7685133009143
valli-unite-diogene,Valli Unite | Diogene,Fyxx | Les Caves de Pyrene,description,"1981,2006,2013",75cl,"…le: Dry natural red, certified organic since 2006, spontaneous fermentation Winemaking: Manual…",https://admin.shopify.com/store/drynksapp/products/7685129273591
valli-unite-marmote,Valli Unite | Marmote,Fyxx | Les Caves de Pyrene,description,"1981,2006,2013",75cl,"…le: Dry natural red, certified organic since 2006, spontaneous fermentation Winemaking: Manual…",https://admin.shopify.com/store/drynksapp/products/7685109186807
bianco-ciape,Valli Unite | Ottavio Rube Bianco,Fyxx | Les Caves de Pyrene,description,"1981,2006,2013",75cl,…bout the Producer Valli Unite was founded in 1981 by three young farmers in the Tortona Hills …,https://admin.shopify.com/store/drynksapp/products/4444565045344
ottavio-rube-rosso,Valli Unite | Ottavio Rube Rosso,Fyxx | Les Caves de Pyrene,description,"1981,2006,2013",75cl,…bout the Producer Valli Unite was founded in 1981 by three young farmers in the Tortona Hills …,https://admin.shopify.com/store/drynksapp/products/4444564684896
bott-vino-rosato-bio-rose-the-beast-in-conf-ni-da-6-bottiglie-da-l-0-75,Valli Unite | ROSÉ & The Beast,Fyxx | Les Caves de Pyrene,description,"1981,2006,2013",75cl,"… is a cooperative of 35 producers founded in 1981 in the Tortona Hills of Piedmont, farming 10…",https://admin.shopify.com/store/drynksapp/products/7926600663287
valli-unite-san-vito-colli-tortonesi-doc,Valli Unite | San Vito,Fyxx | Les Caves de Pyrene,description,"1981,2006,2013",75cl,"…: Dry natural white, certified organic since 2006, spontaneous fermentation Winemaking: Manual…",https://admin.shopify.com/store/drynksapp/products/7685131010295
vino-di-anna-rosso-cr,"Vino di Anna | ""CR"" Rosso",Fyxx | Les Caves de Pyrene,description,2007,75cl,"…r Anna Martens, who arrived on Mount Etna in 2007 and has since built one of the volcano's mos…",https://admin.shopify.com/store/drynksapp/products/7927747412215
vino-di-anna-jeudi-15-bianco-2021,"Vino di Anna | ""Jeudi 15"" Bianco",Fyxx | Les Caves de Pyrene,description,2007,75cl,"…r Anna Martens, who arrived on Mount Etna in 2007 and has since built one of the volcano's mos…",https://admin.shopify.com/store/drynksapp/products/7927740989687
vino-di-anna-jeudi-15-rosato,"Vino di Anna | ""Jeudi 15"" Rosato",Fyxx | Les Caves de Pyrene,description,2007,75cl,"…r Anna Martens, who arrived on Mount Etna in 2007 and has since built one of the volcano's mos…",https://admin.shopify.com/store/drynksapp/products/7927745839351
vino-di-anna-jeudi-15-rosso,"Vino di Anna | ""Jeudi 15"" Rosso",Fyxx | Les Caves de Pyrene,description,2007,75cl,…alian winemaker who arrived on Mount Etna in 2007 and immediately fell in love with the ancien…,https://admin.shopify.com/store/drynksapp/products/7150860337305
vino-di-anna-palmento-bianco,"Vino di Anna | ""Palmen+o"" Bianco",Fyxx | Les Caves de Pyrene,description,2007,75cl,…alian winemaker who arrived on Mount Etna in 2007 and immediately fell in love with the ancien…,https://admin.shopify.com/store/drynksapp/products/7150861025433
vino-di-anna-vendredi-13-rosso,"Vino di Anna | ""Vendredi 13"" Rosso",Fyxx | Les Caves de Pyrene,description,2007,75cl,"…r Anna Martens, who arrived on Mount Etna in 2007 and has since built one of the volcano's mos…",https://admin.shopify.com/store/drynksapp/products/7927739220215
vino-di-anna-palmentino-rosso,Vino di Anna | Palmentino Rosso,Fyxx | Les Caves de Pyrene,description,2007,75cl,…alian winemaker who arrived on Mount Etna in 2007 and immediately fell in love with the ancien…,https://admin.shopify.com/store/drynksapp/products/7148303515801
3-goruli-mtsvane-danakharuli-2020,Pheasant's Tears | Goruli Mtsvane-Danakharuli,Fyxx | Pheasant's Tears,description,2007,75cl,…the Producer Pheasant's Tears was founded in 2007 by Georgian painter and winemaker Gela Patal…,https://admin.shopify.com/store/drynksapp/products/7837785260279
pheasants-tears-mtsvane-tibaani,Pheasant's Tears | Mtsvane Tibaani,Fyxx | Pheasant's Tears,description,2007,75cl,…the Producer Pheasant's Tears was founded in 2007 by Georgian painter and winemaker Gela Patal…,https://admin.shopify.com/store/drynksapp/products/7774167728375
4-kartlis-narevi-quinta-2020,Pheasant's Tears | Quinta,Fyxx | Pheasant's Tears,description,2007,75cl,…the Producer Pheasant's Tears was founded in 2007 by Georgian painter and winemaker Gela Patal…,https://admin.shopify.com/store/drynksapp/products/7837785882871
1-rkatsiteli-bakurtsikhe-2020,Pheasant's Tears | Rkatsiteli Bakurtsikhe,Fyxx | Pheasant's Tears,description,2007,75cl,…the Producer Pheasant's Tears was founded in 2007 by Georgian painter and winemaker Gela Patal…,https://admin.shopify.com/store/drynksapp/products/7837783752951
2019-pheasant-s-tears-saperavi-r,Pheasant's Tears | Saperavi,Fyxx | Pheasant's Tears,description,2007,75cl,…the Producer Pheasant's Tears was founded in 2007 by Georgian painter and winemaker Gela Patal…,https://admin.shopify.com/store/drynksapp/products/6822052724889
6-tsitska-tsolikouri-2020,Pheasant's Tears | Tsitska-Tsolikouri,Fyxx | Pheasant's Tears,description,2007,75cl,…the Producer Pheasant's Tears was founded in 2007 by Georgian painter and winemaker Gela Patal…,https://admin.shopify.com/store/drynksapp/products/7837787324663
chateau-d-esclans-whispering-angel-rose,Château d’Esclans | Whispering Angel Rosé,Khalaf Stores,description,2006,75cl,…y. Sacha Lichine bought Château d'Esclans in 2006 and set out to make pink wine that could be …,https://admin.shopify.com/store/drynksapp/products/9862174572791
krug-champagne-rose-29eme-edition,Krug Champagne | Rosé,Khalaf Stores,description,1983,75cl / 29ème,…Krug Rosé was created in 1983 and caused something of a scandal in the hou…,https://admin.shopify.com/store/drynksapp/products/9862158582007
chateau-minuty-rose-et-or,Château Minuty | ROSE et OR,Saad Abu Jaber & Sons,description,"1936,1950,1955",75cl,…l fluted bottle the house has used since the 1950s. Tasting Notes Very pale pink with silvery …,https://admin.shopify.com/store/drynksapp/products/8347276280055
san-pedro-1865-cabernet-sauvignon-red,1865 Cabernet Sauvignon,UMG,description,2020,75cl,"…d real ageing potential. 92 points Tim Atkin 2020, 90 points Decanter, Wine Spectator, and Jam…",https://admin.shopify.com/store/drynksapp/products/4443581677664
b-g-cabernet-sauvignon-red,B&G | Réserve Cabernet Sauvignon,UMG,description,2019,75cl,…d Gilbert & Guillard International Challenge 2019. Quick Facts Grape: 100% Cabernet Sauvignon …,https://admin.shopify.com/store/drynksapp/products/2233879855200
b-g-sauvignon-blanc-white,B&G | Réserve Sauvignon Blanc,UMG,description,2018,75cl,"…. Silver Medal Concours Mondial de Bruxelles 2018, 85 points Wine Enthusiast. Quick Facts Grap…",https://admin.shopify.com/store/drynksapp/products/2233881526368
barton-guestier-passeport-rouge,Barton & Guestier | Bordeaux Rouge,UMG,description,2018,75cl,"…e. Silver Medal International Wine Challenge 2018. Quick Facts Grapes: 60% Merlot, 40% Caberne…",https://admin.shopify.com/store/drynksapp/products/2233879756896
barton-guestier-passeport-rose-danjou,Barton & Guestier | Rosé D'anjou,UMG,description,2018,75cl,"…d-flexible. Silver Medal USA Drink Pink Vino 2018. Quick Facts Grapes: 75% Grolleau, 25% Gamay…",https://admin.shopify.com/store/drynksapp/products/2233882247264
beronia-crianza,Beronia | Crianza,UMG,description,"1973,1982",75cl,"…roducing a distinctive Rioja character since 1973. Quick Facts Grapes: Tempranillo, Garnacha, …",https://admin.shopify.com/store/drynksapp/products/10008662507767
beronia-reserva,Beronia | Reserva,UMG,description,"1973,1982",75cl,…onia is a celebrated Rioja winery founded in 1973 and part of the González Byass family since …,https://admin.shopify.com/store/drynksapp/products/10008662540535
bortolomiol-filanda-rose-brut-prosecco,Bortolomiol Filanda Rosé Brut,UMG,description,1949,75cl,"…ost respected Prosecco producers, founded in 1949 by Giuliano Bortolomiol and producing wines …",https://admin.shopify.com/store/drynksapp/products/6020105732249
bortolomiol-miol-ecru-cuvee-prosecco,Bortolomiol MIòl Écru Cuvée,UMG,description,1949,75cl,…er with roots in Valdobbiadene going back to 1949. Quick Facts Grapes: Glera and other Prosecc…,https://admin.shopify.com/store/drynksapp/products/6020055007385
bortolomiol-prior-valdobbiadene-prosecco,Bortolomiol Prior Valdobbiadene,UMG,description,1949,75cl,"…ost respected Prosecco producers, founded in 1949 by Giuliano Bortolomiol and producing wines …",https://admin.shopify.com/store/drynksapp/products/6020078731417
bortolomiol-senior-prosecco-extra-dry,Bortolomiol Senior Prosecco (Extra Dry),UMG,description,1949,20cl,"…ost respected Prosecco producers, founded in 1949 by Giuliano Bortolomiol and producing wines …",https://admin.shopify.com/store/drynksapp/products/6020088463513
bortolomiol-il-canto-antico-still-prosecco,Bortolomiol | Il Canto Antico - Tranquilli Collection,UMG,description,1949,75cl,"…'s most respected wine producers, founded in 1949 by Giuliano Bortolomiol and producing wines …",https://admin.shopify.com/store/drynksapp/products/8335371731191
bortolomiol-il-mormoro,Bortolomiol | Il Mormorò - Tranquilli Collection,UMG,description,"1949,1960",75cl,…liano Bortolomiol himself as far back as the 1960s. Tasting Notes A lively Cabernet DOC Piave …,https://admin.shopify.com/store/drynksapp/products/8335359803639
bortolomiol-miol-ecru-cuvee-copy,Bortolomiol | Il Segreto di Giuliano - Rosso Toscana IGT,UMG,description,1949,75cl,"…'s most respected wine producers, founded in 1949 by Giuliano Bortolomiol and producing wines …",https://admin.shopify.com/store/drynksapp/products/8335350431991
bortolomiol-ius-naturae-fondatore-collection,Bortolomiol | Ius Naturae - Fondatore Collection,UMG,description,1949,75cl,"…'s most respected wine producers, founded in 1949 by Giuliano Bortolomiol and producing wines …",https://admin.shopify.com/store/drynksapp/products/8335384707319
san-pedro-castillo-de-molina-reserve-sauvignon-blanc-white,Castillo de Molina Reserve Sauvignon Blanc,UMG,description,2018,75cl,"…s. Silver Medal International Wine Challenge 2018, 92 points Decanter, 89 points Wine Enthusia…",https://admin.shopify.com/store/drynksapp/products/2233881198688
cederberg-cabernet-sauvignon,Cederberg Cabernet Sauvignon,UMG,description,"2017,2018,2019",75cl,"…Atkin, 90 points Wine Spectator and Decanter 2017, Silver Outstanding Medal at IWSC 2018. Tast…",https://admin.shopify.com/store/drynksapp/products/2244710367328
cederberg-chenin-blanc,Cederberg Chenin Blanc,UMG,description,2019,75cl,"…ints Tim Atkin and 89 points Wine Enthusiast 2019. Tasting Notes Beautiful layers of melon, gr…",https://admin.shopify.com/store/drynksapp/products/2244710432864
lugana-maiol-d-o-p,Cà Maiol Lugana DOP,UMG,description,"2017,2019",75cl,"…ze Medal Decanter, 88 points Wine Enthusiast 2019. Tasting Notes Delicate, dry, and fresh on t…",https://admin.shopify.com/store/drynksapp/products/2244711022688
ernie-els-big-easy-cabernet-sauvignon,Ernie Els Big Easy Cabernet Sauvignon,UMG,description,"2017,2019",75cl,"…l Decanter, 89 points Vinous Antonio Galloni 2019. Tasting Notes Rich and elegant with a fresh…",https://admin.shopify.com/store/drynksapp/products/2244710629472
ernie-els-sauvignon-blanc,Ernie Els Sauvignon Blanc,UMG,description,"2016,2017",75cl,"…on Ernie Els. Silver Medal Decanter and IWSC 2016, 87 points Wine Spectator. Tasting Notes Exp…",https://admin.shopify.com/store/drynksapp/products/2244710727776
mumm-cordon-rose-champagne,G.H. Mumm Champagne Brut - Rosé,UMG,description,2020,75cl,…90 points Wine Spectator and Wine Enthusiast 2020. Tasting Notes A hint of raspberries underly…,https://admin.shopify.com/store/drynksapp/products/2233882607712
grand-reserve-rose,IXSIR Grand Reserve Rosé,UMG,description,2021,75cl,"…ints Wine Enthusiast, Best Rosé of the World 2021. Tasting Notes Pale rosé. A fragrant and flo…",https://admin.shopify.com/store/drynksapp/products/6822003703961
mesa-primo-bianco,Mesa Primo Bianco,UMG,description,2004,75cl,"… most celebrated modern wineries, founded in 2004 in the Sant'Anna Arresi zone of southwest Sa…",https://admin.shopify.com/store/drynksapp/products/6024242069657
mesa-primo-scuro,Mesa Primo Scuro,UMG,description,2004,75cl,"… most celebrated modern wineries, founded in 2004 in the Sant'Anna Arresi zone of southwest Sa…",https://admin.shopify.com/store/drynksapp/products/6024253505689
pocas-ruby-port,Poças Ruby Port,UMG,description,1918,75cl,"… Poças is a family-run Port house founded in 1918 in Vila Nova de Gaia, with its own quintas i…",https://admin.shopify.com/store/drynksapp/products/6822001246361
pocas-tawny-port,Poças Tawny Port,UMG,description,1918,75cl,"… Poças is a family-run Port house founded in 1918 in Vila Nova de Gaia, with its own quintas i…",https://admin.shopify.com/store/drynksapp/products/6822001115289
pocas-white-port,Poças White Port,UMG,description,1918,75cl,… Poças is a family-run Port house founded in 1918 with its own quintas in the Douro. Quick Fac…,https://admin.shopify.com/store/drynksapp/products/6822000885913
santa-margherita-chardonnay-ign-dolomiti-vino-bianco,Santa Margherita Chardonnay Vigneti delle Dolomiti,UMG,description,1935,75cl,"…y's most celebrated wine estates, founded in 1935 in the Veneto and renowned for pioneering Pi…",https://admin.shopify.com/store/drynksapp/products/2233881329760
santa-margherita-chianti-classico-docg-red,Santa Margherita Chianti Classico DOCG,UMG,description,1935,75cl,"…y's most celebrated wine estates, founded in 1935 in the Veneto and renowned for pioneering Pi…",https://admin.shopify.com/store/drynksapp/products/2233879625824
santa-margherita-pinot-grigio-valdadige,Santa Margherita Pinot Grigio Valdadige DOC,UMG,description,"1935,1961",75cl,"…nta Margherita pioneered in the DOC style in 1961, making Pinot Grigio synonymous with norther…",https://admin.shopify.com/store/drynksapp/products/4297403367520
santa-margherita-prosecco-di-valdobbiadene-brut-doc-sparkling,Santa Margherita Prosecco di Valdobbiadene Brut,UMG,description,"1935,2020",37.5cl | 75cl,"…us Vini and TEXSOM International Wine Awards 2020, 88 points Wine Enthusiast. Quick Facts Grap…",https://admin.shopify.com/store/drynksapp/products/2233882542176
santa-margherita-spumante-rose-vs-brut,Santa Margherita Spumante Rosé VS Brut,UMG,description,1935,37.5cl | 75cl,"…y's most celebrated wine estates, founded in 1935 in the Veneto and renowned for pioneering Pi…",https://admin.shopify.com/store/drynksapp/products/2233882312800
santa-margherita-stillrose-riviera-del-garda,Santa Margherita Stilrose Riviera Del Garda Classico Chiaretto,UMG,description,"1935,2019",75cl,… Gold Medal Sakura Japan Women's Wine Awards 2019. Tasting Notes Delicate pink. Floral fragran…,https://admin.shopify.com/store/drynksapp/products/2233882345568
santa-margherita-versato-merlot-del-veneto-igt-red,Santa Margherita Versato Merlot Del Veneto IGT,UMG,description,1935,75cl,"…y's most celebrated wine estates, founded in 1935 in the Veneto and renowned for pioneering Pi…",https://admin.shopify.com/store/drynksapp/products/2233879560288
talamonti-kudos,Talamonti | Kudos,UMG,description,2001,75cl,"…orward-thinking family-run winery founded in 2001 in Loreto Aprutino, Abruzzo, producing wines…",https://admin.shopify.com/store/drynksapp/products/9602577039607
talamonti-moda,Talamonti | MODÀ - Montepulciano D’abruzzo,UMG,description,2001,75cl,"…orward-thinking family-run winery founded in 2001 in Loreto Aprutino, Abruzzo, producing wines…",https://admin.shopify.com/store/drynksapp/products/9591502373111
talamonti-trebi,Talamonti | TREBÌ - Trebbiano D’abruzzo,UMG,description,2001,75cl,"… a forward-thinking family estate founded in 2001 in Loreto Aprutino, Abruzzo. Quick Facts Gra…",https://admin.shopify.com/store/drynksapp/products/9591502012663
talamonti-trabocchetto-pecorino,Talamonti | Trabocchetto Pecorino,UMG,description,2001,75cl,"…orward-thinking family-run winery founded in 2001 in Loreto Aprutino, Abruzzo, producing wines…",https://admin.shopify.com/store/drynksapp/products/9602576482551
